ID,TaskName,TaskNum,Date,TimeSpentMins,NecessityRate,DifficultyRate,FunRate,Category,Priority,Progress,Notes
0,Other task,1,2019-12-15,30,1,1,5,Limit,2,1.0,none
1,this task,1,2019-12-15,10,5,1,2,Reminder,3,1.0,none
2,My Task,1,2019-12-15,20,4,4,5,Finish,1,1.0,none
3,New task,1,2019-12-15,45,4,5,2,Motivate,3,1.0,none
4,this task,1,2019-12-16,20,5,1,2,Reminder,3,2.0,none
5,New task,1,2019-12-16,45,5,4,1,Motivate,3,1.0,none
6,My Task,1,2019-12-16,25,4,4,5,Finish,1,1.3,none
7,Other task,1,2019-12-16,30,1,1,5,Limit,2,1.0,none
8,New task,1,2019-12-23,40,4,4,2,Motivate,3,0.9,none
9,Other task,1,2019-12-23,25,1,2,4,Limit,2,0.8,none
10,this task,1,2019-12-23,5,4,2,1,Reminder,3,0.5,none
11,My Task,1,2019-12-23,15,4,5,4,Finish,1,0.8,none
12,this task,2,2019-12-23,15,4,5,2,Motivate,3,1.5,none
13,New task,2,2019-12-23,50,4,4,1,Motivate,3,1.1,none
14,My Task,2,2019-12-23,20,5,4,4,Finish,1,1.0,none
15,Other task,1,2019-12-24,35,1,2,5,Limit,2,1.2,none
16,My Task,1,2019-12-24,25,5,5,4,Finish,1,1.3,none
17,this task,1,2020-01-04,10,4,1,2,Reminder,3,1.0,none
